,date,title,author,publisher,description
9603,3/7/2010,THE THREE WEISSMANNS OF WESTPORT, Cathleen Schine,"Sarah Crichton/Farrar, Straus &amp; Giroux","
Two sisters — one logical, one emotional — move in with their mother when her ex-husband kicks her out of the family apartment; a tribute to Austen’s “Sense and Sensibility.”"
9604,3/7/2010,THE POSTMISTRESS, Sarah Blake,Amy Einhorn/Putnam,"

Ordinary life in a Massachusetts small town and an American radio reporter in England in the 1940s."
9605,3/7/2010,FLIRT, Laurell K. Hamilton,Berkley,"Anita Blake, vampire hunter, and the males in her life."
9606,3/7/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9607,3/7/2010,THE MIDNIGHT HOUSE, Alex Berenson,Putnam,Who is killing members of a secret unit that interrogated terrorists? The C.I.A. agent John Wells is on the case.
9608,3/7/2010,"BRAVA, VALENTINE", Adriana Trigiani,Harper/HarperCollins,"An Italian-American shoemaker faces challenges at work, in her family and in love; the second book in a trilogy."
9609,3/7/2010,THE LAST SURGEON, Michael Palmer,St. Martin’s,A surgeon and a nurse track a killer whose specialty is murders that don’t look like murder.
9610,2/28/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9611,2/28/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9612,2/28/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9613,2/28/2010,WINTER GARDEN, Kristin Hannah,St. Martin’s,"After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother."
9614,2/28/2010,FLIRT, Laurell K. Hamilton,Berkley,"Anita Blake, vampire hunter, and the males in her life."
9615,2/28/2010,POOR LITTLE BITCH GIRL, Jackie Collins,St. Martin’s,"Hollywood murder, three beautiful 20-something high school friends, a hot New York club owner."
9616,2/28/2010,"BRAVA, VALENTINE", Adriana Trigiani,Harper/HarperCollins,"An Italian-American shoemaker faces challenges at work, in her family and in love; the second book in a trilogy."
9617,2/28/2010,THE POSTMISTRESS, Sarah Blake,Amy Einhorn/Putnam,"

Ordinary life in a Massachusetts small town and an American radio reporter in England in the 1940s."
9618,2/28/2010,THE MIDNIGHT HOUSE, Alex Berenson,Putnam,Who is killing members of a secret unit that interrogated terrorists? The C.I.A. agent John Wells is on the case.
9619,2/28/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9620,2/28/2010,ROSES, Leila Meacham,Grand Central,Three generations in a small East Texas town.
9621,2/28/2010,CROSS FIRE, James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
9622,2/21/2010,WORST CASE, James Patterson and Michael Ledwidge,"Little, Brown",A New York detective raising 10 children alone investigates a string of kidnappings and killings of teenagers by a villain with unusual motives.
9623,2/21/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9624,2/21/2010,FLIRT, Laurell K. Hamilton,Berkley,"Anita Blake, vampire hunter, and the males in her life; the 18th book in the series."
9625,2/21/2010,WINTER GARDEN, Kristin Hannah,St. Martin’s,"After their father’s death, two sisters must cooperate to run his apple orchard and care for their difficult mother."
9626,2/21/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9627,2/21/2010,SECRETS OF EDEN, Chris Bohjalian,Shaye Areheart,"Murder, domestic abuse, spirituality and secrets in a small Vermont town."
9628,2/21/2010,KISSER, Stuart Woods,Putnam,"Stone Barrington, the New York cop turned lawyer, pursues a case of financial fraud on the Upper East Side."
9629,2/21/2010,ROSES, Leila Meacham,Grand Central,Three generations in a small East Texas town.
9630,2/21/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9631,2/21/2010,THE FIRST RULE, Robert Crais,Putnam,"

Elvis Cole and his partner, Joe Pike, set out to clear the reputation of a former military contractor who has been murdered."
9632,2/21/2010,THE WOLF AT THE DOOR, Jack Higgins,Putnam,"Someone is targeting the members of an elite British intelligence team, and Sean Dillon believes it is an old nemesis."
9633,2/21/2010,"I, SNIPER", Stephen Hunter,Simon &amp; Schuster,"

Bob Lee Swagger discovers that the murder of four ’60s radicals is more complicated than it seems."
9634,2/14/2010,THE HELP, Kathryn Stockett,Amy Einhorn/Putnam,A young white woman and two black maids in 1960s ­Mississippi.
9635,2/14/2010,THE LOST SYMBOL, Dan Brown,Doubleday,Robert Langdon among the Masons.
9636,2/14/2010,KISSER, Stuart Woods,Putnam,"Stone Barrington, the New York cop turned lawyer, pursues a case of financial fraud on the Upper East Side."
9637,2/14/2010,BLOOD TIES, Kay Hooper,Bantam,The F.B.I. agent Noah Bishop and his special crimes unit  pursue a brutal enemy.
9638,2/14/2010,THE SWAN THIEVES, Elizabeth Kostova,"Little, Brown",A psychiatrist who treats a man who slashed a canvas in the National Gallery is drawn into the world of French Impressionism; from the author of “The Historian.”
9639,2/14/2010,CROSS FIRE, James Patterson,"Little, Brown","Tracking the murderer of a relative, Alex Cross discovers a wild Washington scene with explosive secrets."
9640,2/14/2010,THE LAST SONG, Nicholas Sparks,Grand Central,A 17-year-old girl spends the summer with her divorced father in North Carolina and finds many kinds of love.
9641,2/14/2010,THE GIRL WHO PLAYED WITH FIRE, Stieg Larsson,Knopf,A Swedish hacker becomes a murder suspect.
9642,2/14/2010,THE WOLF AT THE DOOR, Jack Higgins,Putnam,"Someone is targeting the members of an elite British intelligence team, and Sean Dillon believes it is an old nemesis."
