,date,title,author,publisher,description
2926,6/23/2019,FALL; OR DODGE IN HELL, Neal Stephenson,Morrow,A dead multibillionaire’s brain is scanned and turned back on at a time when humans live as digital souls.
2927,6/23/2019,QUEEN BEE, Dorothea Benton Frank,Morrow,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower."
2928,6/23/2019,ON EARTH WE'RE BRIEFLY GORGEOUS, Ocean Vuong,Penguin Press,"Little Dog writes a letter to a mother who cannot read, revealing a family history."
2929,6/23/2019,THE GUEST BOOK, Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.
2930,6/23/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
2931,6/23/2019,SKIN GAME, Stuart Woods and Parnell Hall,Putnam,The third book in the Teddy Fay series. Teddy Fay scours Paris’s underworld to find a treasonous criminal.
2932,6/23/2019,SUNSET BEACH, Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.
2933,6/23/2019,SEARCHING FOR SYLVIE LEE, Jean Kwok,Morrow,"An immigrant Chinese family’s secrets emerge as Amy looks for her older sister, who vanished after flying to the Netherlands."
2934,6/23/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2935,6/23/2019,"ASK AGAIN, YES", Mary Beth Keane,Scribner,The lives of neighboring families in a New York City suburb intertwine over four decades.
2936,6/23/2019,MOSTLY DEAD THINGS, Kristen Arnett,Tin House,"After her father commits suicide, Jessa-Lynn Morton is forced to engage with her family's eccentricities and taxidermy business."
2937,6/23/2019,THE FRIENDS WE KEEP, Jane Green,Berkley,A 30th reunion between three college friends reveals shattered hopes and a dark secret.
2938,6/16/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
2939,6/16/2019,QUEEN BEE, Dorothea Benton Frank,Morrow,"A beekeeper’s quiet life is unsettled by her demanding mother, outgoing sister and neighboring widower."
2940,6/16/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2941,6/16/2019,THE GUEST BOOK, Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.
2942,6/16/2019,"ASK AGAIN, YES", Mary Beth Keane,Scribner,The lives of neighboring families in a New York City suburb intertwine over four decades.
2943,6/16/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
2944,6/16/2019,SUNSET BEACH, Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.
2945,6/16/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
2946,6/16/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2947,6/16/2019,BLESSING IN DISGUISE, Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.
2948,6/16/2019,THE STIEHL ASSASSIN, Terry Brooks,Del Rey,The third book in the Fall of Shannara series.
2949,6/16/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
2950,6/16/2019,CARI MORA, Thomas Harris,Grand Central,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting."
2951,6/16/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
2952,6/16/2019,THE SENTENCE IS DEATH, Anthony Horowitz,Harper,Detective Daniel Hawthorne teams up with the author Anthony Horowitz to solve the mysterious killing of a celebrity divorce lawyer.
2953,6/9/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
2954,6/9/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2955,6/9/2019,CARI MORA, Thomas Harris,Grand Central,"Hans-Peter Schneider pauses his ghastly deeds to seek a dead man’s gold hidden under a Miami mansion, but its caretaker’s surprising skills prove daunting."
2956,6/9/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
2957,6/9/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
2958,6/9/2019,THE GUEST BOOK, Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.
2959,6/9/2019,SUNSET BEACH, Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.
2960,6/9/2019,BLESSING IN DISGUISE, Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.
2961,6/9/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
2962,6/9/2019,THE NIGHT WINDOW, Dean Koontz,Bantam,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss."
2963,6/9/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
2964,6/9/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2965,6/9/2019,THE BIG KAHUNA, Janet Evanovich and Peter Evanovich,Putnam,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.
2966,6/9/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
2967,6/9/2019,EXHALATION, Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”
2968,6/2/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
2969,6/2/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2970,6/2/2019,THE NIGHT WINDOW, Dean Koontz,Bantam,"The fifth book in the Jane Hawk series. The former F.B.I. agent pursues a slew of bad guys, including a Vegas mob boss."
2971,6/2/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
2972,6/2/2019,BLESSING IN DISGUISE, Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.
2973,6/2/2019,THE GUEST BOOK, Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.
2974,6/2/2019,SUNSET BEACH, Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.
2975,6/2/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
2976,6/2/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
2977,6/2/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
2978,6/2/2019,THE NEVER GAME, Jeffery Deaver,Putnam,"Colter Shaw, the son of a survivalist family, probes the underbelly of Silicon Valley to go after a kidnapper."
2979,6/2/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2980,6/2/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
2981,6/2/2019,THE BIG KAHUNA, Janet Evanovich and Peter Evanovich,Putnam,The sixth book in the Fox and O’Hare series. An F.B.I. agent teams up with a con man to search for a Silicon Valley billionaire.
2982,6/2/2019,EXHALATION, Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”
2983,5/26/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
2984,5/26/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2985,5/26/2019,BLESSING IN DISGUISE, Danielle Steel,Delacorte,Isabelle McAvoy faces challenges as she raises three daughters from three separate fathers on her own.
2986,5/26/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
2987,5/26/2019,SUNSET BEACH, Mary Kay Andrews,St. Martin's,Drue Campbell inherits a run-down beach bungalow and takes a job at her estranged father’s personal injury attorney office.
2988,5/26/2019,STORM CURSED, Patricia Briggs,Ace,The 11th book in the Mercy Thompson series. Dangers swell as Death approaches.
2989,5/26/2019,THE ROAD HOME, Richard Paul Evans,Simon &amp; Schuster,The third book in the Broken Road series. Charles James continues his journey on Route 66 to his ultimate destination.
2990,5/26/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
2991,5/26/2019,THE GUEST BOOK, Sarah Blake,Flatiron,Evie Milton uncovers a story going back a couple generations that may shatter a family myth.
2992,5/26/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
2993,5/26/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
2994,5/26/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
2995,5/26/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
2996,5/26/2019,EXHALATION, Ted Chiang,Knopf,Nine short stories including “The Lifecycle of Software Objects” and “Anxiety Is the Dizziness of Freedom.”
2997,5/19/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
2998,5/19/2019,THE 18TH ABDUCTION, James Patterson and Maxine Paetro,"Little, Brown",The 18th book in the Women's Murder Club series. Lindsay Boxer investigates the disappearance of three female teachers.
2999,5/19/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
3000,5/19/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
3001,5/19/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
3002,5/19/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
3003,5/19/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3004,5/19/2019,A WOMAN IS NO MAN, Etaf Rum,Harper,"A Palestinian-American teenager, much like her mother before her, faces the prospect of an arranged marriage."
3005,5/19/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
3006,5/19/2019,SOMEONE KNOWS, Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.
3007,5/19/2019,CIRCE, Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals."
3008,5/19/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3009,5/19/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3010,5/19/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3011,5/19/2019,MIRACLE AT ST. ANDREWS, James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.
3012,5/12/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3013,5/12/2019,NEON PREY, John Sandford,Putnam,The 29th book in the Prey series. Lucas Davenport goes after a serial killer.
3014,5/12/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
3015,5/12/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
3016,5/12/2019,WAR OF THE SPARK: RAVNICA, Greg Weisman,Del Rey,"The first book in the Magic: The Gathering: War of the Spark series. Nicol Bolas, the Elder Dragon, attacks the city of Ravnica."
3017,5/12/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
3018,5/12/2019,SOMEONE KNOWS, Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.
3019,5/12/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3020,5/12/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
3021,5/12/2019,MACHINES LIKE ME, Ian McEwan,Nan A. Talese/Doubleday,"In an alternative 1980s London, a love triangle develops between a couple and a synthetic human."
3022,5/12/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3023,5/12/2019,MIRACLE AT ST. ANDREWS, James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.
3024,5/12/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3025,5/12/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3026,5/12/2019,STAR WARS: MASTER &amp; APPRENTICE, Claudia Gray,Del Rey,The bond between Qui-Gon Jinn and Obi-Wan Kenobi is tested when they go on a mission to the royal court of Pijal.
3027,5/5/2019,REDEMPTION, David Baldacci,Grand Central,The fifth book in the Memory Man series. The first man Amos Decker put behind bars asks to have his name cleared.
3028,5/5/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3029,5/5/2019,NORMAL PEOPLE, Sally Rooney,Hogarth,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
3030,5/5/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
3031,5/5/2019,STAR WARS: MASTER &amp; APPRENTICE, Claudia Gray,Del Rey,The bond between Qui-Gon Jinn and Obi-Wan Kenobi is tested when they go on a mission to the royal court of Pijal.
3032,5/5/2019,SOMEONE KNOWS, Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.
3033,5/5/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3034,5/5/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3035,5/5/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3036,5/5/2019,THE CORNWALLS ARE GONE, James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.
3037,5/5/2019,MIRACLE AT ST. ANDREWS, James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.
3038,5/5/2019,FIRE AND BLOOD, George R.R. Martin,Bantam,The first volume of the two-part history of the Targaryens in Westeros.
3039,5/5/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3040,5/5/2019,THE DEPARTMENT OF SENSITIVE CRIMES, Alexander McCall Smith,Pantheon,A quirky team of Swedish detectives take on bizarre and tricky cases.
3041,5/5/2019,CIRCE, Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals."
3042,4/28/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3043,4/28/2019,SOMEONE KNOWS, Lisa Scottoline,Putnam,A dark secret emerges when Allie Garvey returns home to attend a childhood friend’s funeral.
3044,4/28/2019,LOST ROSES, Martha Hall Kelly,Ballantine,"In 1914, the New York socialite Eliza Ferriday works to help White Russian families escape from the revolution."
3045,4/28/2019,THE CORNWALLS ARE GONE, James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.
3046,4/28/2019,TWO WEEKS, Karen Kingsbury,Howard,A pregnant 18-year-old has limited time to change her mind about giving her baby up for adoption.
3047,4/28/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3048,4/28/2019,THE TALE TELLER, Anne Hillerman,Harper,"Investigations by Leaphorn, Chee and Manuelito overlap in the desert Southwest."
3049,4/28/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3050,4/28/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3051,4/28/2019,METROPOLIS, Philip Kerr,Putnam,Bernie Gunther joins the Murder Commission in Berlin in 1928. The final Bernie Gunther novel completed before the author’s death.
3052,4/28/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3053,4/28/2019,WOLF PACK, C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.
3054,4/28/2019,MIRACLE AT ST. ANDREWS, James Patterson and Peter de Jonge,"Little, Brown",A former professional golfer visits the course in Scotland.
3055,4/28/2019,LOST AND WANTED, Nell Freudenberger,Knopf,An M.I.T. professor receives a phone call from her recently deceased screenwriter friend.
3056,4/28/2019,THE ISLAND OF SEA WOMEN, Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.
3057,4/21/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3058,4/21/2019,THE CORNWALLS ARE GONE, James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.
3059,4/21/2019,THE SAVIOR, J.R. Ward,Gallery,The 17th book in the Black Dagger Brotherhood series. Secrets about inhumane experiments surface at a biomedical firm.
3060,4/21/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3061,4/21/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3062,4/21/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3063,4/21/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3064,4/21/2019,CEMETERY ROAD, Greg Iles,Morrow,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink."
3065,4/21/2019,WOLF PACK, C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.
3066,4/21/2019,THE CHEF, James Patterson and Max DiLallo,"Little, Brown","Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations."
3067,4/21/2019,WILD CARD, Stuart Woods,Putnam,The 49th book in the Stone Barrington series.
3068,4/21/2019,THE LAST ROMANTICS, Tara Conklin,Morrow,A family crisis tests the bonds and ideals of a renowned poet and her siblings.
3069,4/21/2019,THE A LIST, J.A. Jance,Gallery,The 14th book in the Ali Reynolds Series. An imprisoned fertility doctor seeks revenge.
3070,4/21/2019,THE AMERICAN AGENT, Jacqueline Winspear,Harper,"The 15th book in the Maisie Dobbs series. While the Germans attack the British Isles, Maisie must solve a case and protect a young evacuee."
3071,4/21/2019,THE ISLAND OF SEA WOMEN, Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.
3072,4/14/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3073,4/14/2019,THE CORNWALLS ARE GONE, James Patterson and Brendan DuBois,"Little, Brown",An Army intelligence officer must commit a crime or lose her kidnapped husband and daughter.
3074,4/14/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3075,4/14/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3076,4/14/2019,THE AMERICAN AGENT, Jacqueline Winspear,Harper,"The 15th book in the Maisie Dobbs series. While the Germans attack the British Isles, Maisie must solve a case and protect a young evacuee."
3077,4/14/2019,TIAMAT'S WRATH, James S.A. Corey,Orbit,The eighth book in the Expanse series.
3078,4/14/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3079,4/14/2019,WILD CARD, Stuart Woods,Putnam,The 49th book in the Stone Barrington series.
3080,4/14/2019,CEMETERY ROAD, Greg Iles,Morrow,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink."
3081,4/14/2019,WOLF PACK, C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.
3082,4/14/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3083,4/14/2019,THE LAST SECOND, Catherine Coulter and J.T. Ellison,Gallery,The sixth book in the A Brit in the F.B.I. series. Special agents must prevent the use of a deadly weapon on a French satellite.
3084,4/14/2019,THE CHEF, James Patterson and Max DiLallo,"Little, Brown","Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations."
3085,4/14/2019,THE ISLAND OF SEA WOMEN, Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.
3086,4/14/2019,DARK TRIBUTE, Iris Johansen,St. Martin's,The 24th book in the Eve Duncan series. A violin prodigy with a tragic past is kidnapped.
3087,4/7/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3088,4/7/2019,RUN AWAY, Harlan Coben,Grand Central,A family is torn apart when the daughter becomes addicted to drugs and goes missing.
3089,4/7/2019,CELTIC EMPIRE, Clive Cussler and Dirk Cussler,Putnam,The 25th book in the Dirk Pitt series.
3090,4/7/2019,WOLF PACK, C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.
3091,4/7/2019,CEMETERY ROAD, Greg Iles,Morrow,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink."
3092,4/7/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3093,4/7/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3094,4/7/2019,THE ISLAND OF SEA WOMEN, Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.
3095,4/7/2019,SILENT NIGHT, Danielle Steel,Delacorte,"After tragedy strikes, a child TV star loses her memory and ability to speak."
3096,4/7/2019,THE CHEF, James Patterson and Max DiLallo,"Little, Brown","Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations."
3097,4/7/2019,THE LAST ROMANTICS, Tara Conklin,Morrow,A family crisis tests the bonds and ideals of a renowned poet and her siblings.
3098,4/7/2019,THE MALTA EXCHANGE, Steve Berry,Minotaur,The 14th book in the Cotton Malone series. The former Justice Department operative tangles with a rogue cardinal and an ancient sect of knights.
3099,4/7/2019,THE RECKONING, John Grisham,Doubleday,A decorated World War II veteran shoots and kills a pastor.
3100,4/7/2019,CIRCE, Madeline Miller,"Little, Brown","Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals."
3101,3/31/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3102,3/31/2019,WOLF PACK, C.J. Box,Putnam,The Wyoming game wardens Joe Pickett and Katelyn Hamm take on killers working for the Sinaloa cartel.
3103,3/31/2019,CEMETERY ROAD, Greg Iles,Morrow,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink."
3104,3/31/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3105,3/31/2019,THE SILENT PATIENT, Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
3106,3/31/2019,SILENT NIGHT, Danielle Steel,Delacorte,"After tragedy strikes, a child TV star loses her memory and ability to speak."
3107,3/31/2019,THE CHEF, James Patterson and Max DiLallo,"Little, Brown","Caleb Rooney, a police detective and celebrity food truck chef, must clear his name of murder allegations."
3108,3/31/2019,THE LAST ROMANTICS, Tara Conklin,Morrow,A family crisis tests the bonds and ideals of a renowned poet and her siblings.
3109,3/31/2019,THE ISLAND OF SEA WOMEN, Lisa See,Scribner,The friendship over many decades of two female divers from the Korean Island of Jeju is pushed to a breaking point.
3110,3/31/2019,THE BORDER, Don Winslow,Morrow,The third book in the Power of the Dog series. Art Keller’s fight to keep drugs out of the country has taken a complicated turn.
3111,3/31/2019,THE MALTA EXCHANGE, Steve Berry,Minotaur,The 14th book in the Cotton Malone series. The former Justice Department operative tangles with a rogue cardinal and an ancient sect of knights.
3112,3/31/2019,THE RECKONING, John Grisham,Doubleday,A decorated World War II veteran shoots and kills a pastor.
3113,3/31/2019,TOXIC GAME, Christine Feehan,Berkley,The 15th book in the GhostWalker series. Dr. Draden Freeman and Shylah Cosmos must find a cure to a deadly virus.
3114,3/31/2019,AN ANONYMOUS GIRL, Greer Hendricks and Sarah Pekkanen,St. Martin's,Jessica Farris’s life unravels when she signs up for Dr. Shields’s psychology study.
3115,3/31/2019,"BLACK LEOPARD, RED WOLF", Marlon James,Riverhead,A loner named Tracker teams up with a group of unusual characters in search of a mysterious boy.
3116,3/24/2019,WHERE THE CRAWDADS SING, Delia Owens,Putnam,A woman who survived alone in the marsh becomes a murder suspect.
3117,3/24/2019,CEMETERY ROAD, Greg Iles,Morrow,"The journalist Marshall McEwan returns to his hometown, which is shaken by two deaths and an economy on the brink."
3118,3/24/2019,DAISY JONES &amp; THE SIX, Taylor Jenkins Reid,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.
3119,3/24/2019,SILENT NIGHT, Danielle Steel,Delacorte,"After tragedy strikes, a child TV star loses her memory and ability to speak."
